doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.1594/pangaea.652833,2007,Dataset,Zooplankton abundance during ARGOS cruise Argos90/8,PANGAEA,2011-12-03T12:09:05Z,2024-07-21T09:18:31Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,6,,repository
10.1594/pangaea.653132,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos90/11,PANGAEA,2011-12-03T12:09:09Z,2024-07-21T00:09:46Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,10,,repository
10.1594/pangaea.653292,2007,Dataset,Physical oceanography during ARGOS cruise Argos90/8,PANGAEA,2011-12-03T12:09:09Z,2024-07-20T22:34:47Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,6,,repository
10.1594/pangaea.653304,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos90/8,PANGAEA,2011-12-03T12:09:09Z,2024-07-20T11:46:35Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,10,,repository
10.1594/pangaea.653333,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos91/1,PANGAEA,2011-12-03T12:09:09Z,2024-07-21T09:11:32Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,10,,repository
10.1594/pangaea.653394,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos91/5,PANGAEA,2011-12-03T12:09:09Z,2024-07-20T11:45:28Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,10,,repository
10.1594/pangaea.655230,2007,Dataset,Phytoplankton abundance during ARGOS cruise Argos90/8,PANGAEA,2011-12-03T12:09:20Z,2024-07-25T07:33:50Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,48,0,0,0,,,,,,,,6,,repository
10.1594/pangaea.655281,2007,Dataset,Phytoplankton abundance during ARGOS cruise Argos91/5,PANGAEA,2011-12-03T12:09:20Z,2024-07-24T20:27:16Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,46,0,0,0,,,,,,,,6,,repository
10.1594/pangaea.656331,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos86/5,PANGAEA,2011-12-03T12:12:28Z,2024-07-21T05:41:25Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,pangaea.repository,PANGAEA,0,0,0,0,,,,,,,,10,,repository
10.5676/eum_saf_cm/clara_avhrr/v001,2012,Dataset,"CLARA-A1: CM SAF cLouds, Albedo and Radiation dataset from AVHRR data - Edition 1",Satellite Application Facility on Climate Monitoring (CM SAF),2012-12-05T10:49:21Z,2025-02-16T08:55:15Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,tib.dwd,Deutscher Wetterdienst - Klimaüberwachung,3,0,0,0,,,,,,,,14,,repository
